name
demo1|AGE
demo2|Y
demo2|N
demo2|R
demo2|NI
demo2|UN
demo2|OT
demo3|01
demo3|02
demo3|03
demo3|04
demo3|05
demo3|06
demo3|07
demo3|NI
demo3|UN
demo3|OT
demo4|A
demo4|F
demo4|M
demo4|NI
demo4|UN
demo4|OT
vital1|HT
vital2|WT
vital3|BMI
vital4|01
vital4|02
vital4|03
vital4|04
vital4|05
vital4|06
vital4|07
vital4|08
vital4|NI
vital4|UN
vital4|OT
vital5|01
vital5|02
vital5|03
vital5|04
vital5|06
vital5|NI
vital5|UN
vital5|OT
vital6|01
vital6|02
vital6|03
vital6|04
vital6|05
vital6|NI
vital6|UN
vital6|OT
vital7|BP_SYSTOLIC
vital8|BP_DIASTOLIC
lab83|LAB_RESULT_CM|15159-7
lab84|LAB_RESULT_CM|15202-5
lab85|LAB_RESULT_CM|15207-4
lab86|LAB_RESULT_CM|15212-4
lab87|LAB_RESULT_CM|15363-5
lab88|LAB_RESULT_CM|16135-6
lab89|LAB_RESULT_CM|16136-4
lab90|LAB_RESULT_CM|16142-2
lab91|LAB_RESULT_CM|16182-8
lab92|LAB_RESULT_CM|16935-9
lab93|LAB_RESULT_CM|1695-6
lab94|LAB_RESULT_CM|17284-1
lab95|LAB_RESULT_CM|17351-8
lab96|LAB_RESULT_CM|1742-6
lab97|LAB_RESULT_CM|1747-5
lab98|LAB_RESULT_CM|17527-3
lab99|LAB_RESULT_CM|1761-6
lab100|LAB_RESULT_CM|1763-2
lab101|LAB_RESULT_CM|1765-7
lab102|LAB_RESULT_CM|17713-9
lab103|LAB_RESULT_CM|1777-2
lab104|LAB_RESULT_CM|17781-6
lab105|LAB_RESULT_CM|17842-6
lab106|LAB_RESULT_CM|17849-1
lab107|LAB_RESULT_CM|17856-6
lab108|LAB_RESULT_CM|17861-6
lab109|LAB_RESULT_CM|17862-4
lab110|LAB_RESULT_CM|1795-4
lab111|LAB_RESULT_CM|1798-8
lab112|LAB_RESULT_CM|1823-4
lab113|LAB_RESULT_CM|18267-5
lab114|LAB_RESULT_CM|18337-6
lab115|LAB_RESULT_CM|1834-1
lab116|LAB_RESULT_CM|1854-9
lab117|LAB_RESULT_CM|1884-6
lab118|LAB_RESULT_CM|1903-4
lab119|LAB_RESULT_CM|19049-6
lab120|LAB_RESULT_CM|19076-9
lab121|LAB_RESULT_CM|19113-0
lab122|LAB_RESULT_CM|19114-8
lab123|LAB_RESULT_CM|19123-9
lab124|LAB_RESULT_CM|19124-7
lab125|LAB_RESULT_CM|1920-8
lab126|LAB_RESULT_CM|19211-2
lab127|LAB_RESULT_CM|19212-0
lab128|LAB_RESULT_CM|19213-8
lab129|LAB_RESULT_CM|1922-4
lab130|LAB_RESULT_CM|19229-4
lab131|LAB_RESULT_CM|1923-2
lab132|LAB_RESULT_CM|19234-4
lab133|LAB_RESULT_CM|19235-1
lab134|LAB_RESULT_CM|19236-9
lab135|LAB_RESULT_CM|19237-7
lab136|LAB_RESULT_CM|19238-5
lab137|LAB_RESULT_CM|1924-0
lab138|LAB_RESULT_CM|1926-5
lab139|LAB_RESULT_CM|1927-3
lab140|LAB_RESULT_CM|19346-6
lab141|LAB_RESULT_CM|1952-1
lab142|LAB_RESULT_CM|1956-2
lab143|LAB_RESULT_CM|1960-4
lab144|LAB_RESULT_CM|1961-2
lab145|LAB_RESULT_CM|1963-8
lab146|LAB_RESULT_CM|1964-6
lab147|LAB_RESULT_CM|1968-7
lab148|LAB_RESULT_CM|19726-9
lab149|LAB_RESULT_CM|1974-5
lab150|LAB_RESULT_CM|1975-2
lab151|LAB_RESULT_CM|1982-8
lab152|LAB_RESULT_CM|1986-9
lab153|LAB_RESULT_CM|1988-5
lab154|LAB_RESULT_CM|1992-7
lab155|LAB_RESULT_CM|1994-3
lab156|LAB_RESULT_CM|2019-8
lab157|LAB_RESULT_CM|2020-6
lab158|LAB_RESULT_CM|2021-4
lab159|LAB_RESULT_CM|2032-1
lab160|LAB_RESULT_CM|2039-6
lab161|LAB_RESULT_CM|20402-4
lab162|LAB_RESULT_CM|20416-4
lab163|LAB_RESULT_CM|20420-6
lab164|LAB_RESULT_CM|20436-2
lab165|LAB_RESULT_CM|20447-9
lab166|LAB_RESULT_CM|20448-7
lab167|LAB_RESULT_CM|20509-6
lab168|LAB_RESULT_CM|20565-8
lab169|LAB_RESULT_CM|20570-8
lab170|LAB_RESULT_CM|20572-4
lab171|LAB_RESULT_CM|20578-1
lab172|LAB_RESULT_CM|20598-9
lab173|LAB_RESULT_CM|20599-7
lab174|LAB_RESULT_CM|20602-9
lab175|LAB_RESULT_CM|20634-2
lab176|LAB_RESULT_CM|20636-7
lab177|LAB_RESULT_CM|20637-5
lab178|LAB_RESULT_CM|20638-3
lab179|LAB_RESULT_CM|2064-4
lab180|LAB_RESULT_CM|20640-9
lab181|LAB_RESULT_CM|20642-5
lab182|LAB_RESULT_CM|20643-3
lab183|LAB_RESULT_CM|20644-1
lab184|LAB_RESULT_CM|20645-8
lab185|LAB_RESULT_CM|20648-2
lab186|LAB_RESULT_CM|20649-0
lab187|LAB_RESULT_CM|20650-8
lab188|LAB_RESULT_CM|20651-6
lab189|LAB_RESULT_CM|20652-4
lab190|LAB_RESULT_CM|20655-7
lab191|LAB_RESULT_CM|20656-5
lab192|LAB_RESULT_CM|20657-3
lab193|LAB_RESULT_CM|20658-1
lab194|LAB_RESULT_CM|20660-7
lab195|LAB_RESULT_CM|20661-5
lab196|LAB_RESULT_CM|2069-3
lab197|LAB_RESULT_CM|2070-1
lab198|LAB_RESULT_CM|2072-7
lab199|LAB_RESULT_CM|2075-0
lab200|LAB_RESULT_CM|2078-4
lab201|LAB_RESULT_CM|2079-2
lab202|LAB_RESULT_CM|2085-9
lab203|LAB_RESULT_CM|2089-1
lab204|LAB_RESULT_CM|2091-7
lab205|LAB_RESULT_CM|2093-3
lab206|LAB_RESULT_CM|2106-3
lab207|LAB_RESULT_CM|21108-6
lab208|LAB_RESULT_CM|2116-2
lab209|LAB_RESULT_CM|21198-7
lab210|LAB_RESULT_CM|21203-5
lab211|LAB_RESULT_CM|21216-7
lab212|LAB_RESULT_CM|21219-1
lab213|LAB_RESULT_CM|2128-7
lab214|LAB_RESULT_CM|2141-0
lab215|LAB_RESULT_CM|2142-8
lab216|LAB_RESULT_CM|2143-6
lab217|LAB_RESULT_CM|2145-1
lab218|LAB_RESULT_CM|21518-6
lab219|LAB_RESULT_CM|21563-2
lab220|LAB_RESULT_CM|2157-6
lab221|LAB_RESULT_CM|21582-2
lab222|LAB_RESULT_CM|2160-0
lab223|LAB_RESULT_CM|2161-8
lab224|LAB_RESULT_CM|2162-6
lab225|LAB_RESULT_CM|2171-7
lab226|LAB_RESULT_CM|2191-5
lab227|LAB_RESULT_CM|2193-1
lab228|LAB_RESULT_CM|2216-0
lab229|LAB_RESULT_CM|2218-6
lab230|LAB_RESULT_CM|22203-4
lab231|LAB_RESULT_CM|22244-8
lab232|LAB_RESULT_CM|2230-1
lab233|LAB_RESULT_CM|2243-4
lab234|LAB_RESULT_CM|2258-2
lab235|LAB_RESULT_CM|22670-4
lab236|LAB_RESULT_CM|22671-2
lab237|LAB_RESULT_CM|22672-0
lab238|LAB_RESULT_CM|2276-4
lab239|LAB_RESULT_CM|22761-1
lab240|LAB_RESULT_CM|2324-2
lab241|LAB_RESULT_CM|2333-3
lab242|LAB_RESULT_CM|2338-2
lab243|LAB_RESULT_CM|2339-0
lab244|LAB_RESULT_CM|2340-8
lab245|LAB_RESULT_CM|2342-4
lab246|LAB_RESULT_CM|2344-0
lab247|LAB_RESULT_CM|2345-7
lab248|LAB_RESULT_CM|2348-1
lab249|LAB_RESULT_CM|2350-7
lab250|LAB_RESULT_CM|2351-5
lab251|LAB_RESULT_CM|23656-2
lab252|LAB_RESULT_CM|23883-2
lab253|LAB_RESULT_CM|23905-3
lab254|LAB_RESULT_CM|23906-1
lab255|LAB_RESULT_CM|24119-0
lab256|LAB_RESULT_CM|2436-4
lab257|LAB_RESULT_CM|24447-5
lab258|LAB_RESULT_CM|24461-6
lab259|LAB_RESULT_CM|24467-3
lab260|LAB_RESULT_CM|24471-5
lab261|LAB_RESULT_CM|24472-3
lab262|LAB_RESULT_CM|2458-8
lab263|LAB_RESULT_CM|2465-3
lab264|LAB_RESULT_CM|2466-1
lab265|LAB_RESULT_CM|2467-9
lab266|LAB_RESULT_CM|2468-7
lab267|LAB_RESULT_CM|2469-5
lab268|LAB_RESULT_CM|2472-9
lab269|LAB_RESULT_CM|2483-6
lab270|LAB_RESULT_CM|2484-4
lab271|LAB_RESULT_CM|2492-7
lab272|LAB_RESULT_CM|2494-3
lab273|LAB_RESULT_CM|2498-4
lab274|LAB_RESULT_CM|2501-5
lab275|LAB_RESULT_CM|2518-9
lab276|LAB_RESULT_CM|2520-5
lab277|LAB_RESULT_CM|2524-7
lab278|LAB_RESULT_CM|25296-5
lab279|LAB_RESULT_CM|25418-5
lab280|LAB_RESULT_CM|25434-2
lab281|LAB_RESULT_CM|25438-3
lab282|LAB_RESULT_CM|25494-6
lab283|LAB_RESULT_CM|2571-8
lab284|LAB_RESULT_CM|2609-6
lab285|LAB_RESULT_CM|2614-6
lab286|LAB_RESULT_CM|26446-5
lab287|LAB_RESULT_CM|26450-7
lab288|LAB_RESULT_CM|26451-5
lab289|LAB_RESULT_CM|26454-9
lab290|LAB_RESULT_CM|26455-6
lab291|LAB_RESULT_CM|26458-0
lab292|LAB_RESULT_CM|26464-8
lab293|LAB_RESULT_CM|26465-5
lab294|LAB_RESULT_CM|26466-3
lab295|LAB_RESULT_CM|26469-7
lab296|LAB_RESULT_CM|26472-1
lab297|LAB_RESULT_CM|26473-9
lab298|LAB_RESULT_CM|26474-7
lab299|LAB_RESULT_CM|26478-8
lab300|LAB_RESULT_CM|26479-6
lab301|LAB_RESULT_CM|26498-6
lab302|LAB_RESULT_CM|26506-6
lab303|LAB_RESULT_CM|26508-2
lab304|LAB_RESULT_CM|26511-6
lab305|LAB_RESULT_CM|26524-9
lab306|LAB_RESULT_CM|26582-7
lab307|LAB_RESULT_CM|26604-9
lab308|LAB_RESULT_CM|2666-6
lab309|LAB_RESULT_CM|2668-2
lab310|LAB_RESULT_CM|2671-6
lab311|LAB_RESULT_CM|26842-5
lab312|LAB_RESULT_CM|2692-2
lab313|LAB_RESULT_CM|2693-0
lab314|LAB_RESULT_CM|2695-5
lab315|LAB_RESULT_CM|2697-1
lab316|LAB_RESULT_CM|2701-1
lab317|LAB_RESULT_CM|2703-7
lab318|LAB_RESULT_CM|2704-5
lab319|LAB_RESULT_CM|2705-2
lab320|LAB_RESULT_CM|27057-9
lab321|LAB_RESULT_CM|27092-6
lab322|LAB_RESULT_CM|27094-2
lab323|LAB_RESULT_CM|27096-7
lab324|LAB_RESULT_CM|27113-0
lab325|LAB_RESULT_CM|27118-9
lab326|LAB_RESULT_CM|2721-9
lab327|LAB_RESULT_CM|2722-7
lab328|LAB_RESULT_CM|27222-9
lab329|LAB_RESULT_CM|2731-8
lab330|LAB_RESULT_CM|27374-8
lab331|LAB_RESULT_CM|27387-0
lab332|LAB_RESULT_CM|27389-6
lab333|LAB_RESULT_CM|27390-4
lab334|LAB_RESULT_CM|27392-0
lab335|LAB_RESULT_CM|27395-3
lab336|LAB_RESULT_CM|2742-5
lab337|LAB_RESULT_CM|2744-1
lab338|LAB_RESULT_CM|2745-8
lab339|LAB_RESULT_CM|2746-6
lab340|LAB_RESULT_CM|2748-2
lab341|LAB_RESULT_CM|2755-7
lab342|LAB_RESULT_CM|2756-5
lab343|LAB_RESULT_CM|2777-1
lab344|LAB_RESULT_CM|2778-9
lab345|LAB_RESULT_CM|2779-7
lab346|LAB_RESULT_CM|27811-9
lab347|LAB_RESULT_CM|27819-2
lab348|LAB_RESULT_CM|27821-8
lab349|LAB_RESULT_CM|27822-6
lab350|LAB_RESULT_CM|27923-2
lab351|LAB_RESULT_CM|2811-8
lab352|LAB_RESULT_CM|2815-9
lab353|LAB_RESULT_CM|2821-7
lab354|LAB_RESULT_CM|2823-3
lab355|LAB_RESULT_CM|2828-2
lab356|LAB_RESULT_CM|2829-0
lab357|LAB_RESULT_CM|2839-9
lab358|LAB_RESULT_CM|2842-3
lab359|LAB_RESULT_CM|28541-1
lab360|LAB_RESULT_CM|2857-1
lab361|LAB_RESULT_CM|2861-3
lab362|LAB_RESULT_CM|2862-1
lab363|LAB_RESULT_CM|2873-8
lab364|LAB_RESULT_CM|2880-3
lab365|LAB_RESULT_CM|2881-1
lab366|LAB_RESULT_CM|2885-2
lab367|LAB_RESULT_CM|2886-0
lab368|LAB_RESULT_CM|2888-6
lab369|LAB_RESULT_CM|2889-4
lab370|LAB_RESULT_CM|2892-8
lab371|LAB_RESULT_CM|2905-8
lab372|LAB_RESULT_CM|2915-7
lab373|LAB_RESULT_CM|29154-2
lab374|LAB_RESULT_CM|2924-9
lab375|LAB_RESULT_CM|29247-4
lab376|LAB_RESULT_CM|2947-0
lab377|LAB_RESULT_CM|2950-4
lab378|LAB_RESULT_CM|2951-2
lab379|LAB_RESULT_CM|2955-3
lab380|LAB_RESULT_CM|2956-1
lab381|LAB_RESULT_CM|29620-2
lab382|LAB_RESULT_CM|2963-7
lab383|LAB_RESULT_CM|2964-5
lab384|LAB_RESULT_CM|2986-8
lab385|LAB_RESULT_CM|2991-8
lab386|LAB_RESULT_CM|29953-7
lab387|LAB_RESULT_CM|30003-8
lab388|LAB_RESULT_CM|30078-0
lab389|LAB_RESULT_CM|3013-0
lab390|LAB_RESULT_CM|30153-1
lab391|LAB_RESULT_CM|3016-3
lab392|LAB_RESULT_CM|30180-4
lab393|LAB_RESULT_CM|30185-3
lab394|LAB_RESULT_CM|30190-3
lab395|LAB_RESULT_CM|30191-1
lab396|LAB_RESULT_CM|30192-9
lab397|LAB_RESULT_CM|30193-7
lab398|LAB_RESULT_CM|30194-5
lab399|LAB_RESULT_CM|30195-2
lab400|LAB_RESULT_CM|30196-0
lab401|LAB_RESULT_CM|30197-8
lab402|LAB_RESULT_CM|30198-6
lab403|LAB_RESULT_CM|3021-3
lab404|LAB_RESULT_CM|30226-5
lab405|LAB_RESULT_CM|30233-1
lab406|LAB_RESULT_CM|30234-9
lab407|LAB_RESULT_CM|30235-6
lab408|LAB_RESULT_CM|30236-4
lab409|LAB_RESULT_CM|30237-2
lab410|LAB_RESULT_CM|30238-0
lab411|LAB_RESULT_CM|3024-7
lab412|LAB_RESULT_CM|30248-9
lab413|LAB_RESULT_CM|3026-2
lab414|LAB_RESULT_CM|30312-3
lab415|LAB_RESULT_CM|30313-1
lab416|LAB_RESULT_CM|30314-9
lab417|LAB_RESULT_CM|30318-0
lab418|LAB_RESULT_CM|30327-1
lab419|LAB_RESULT_CM|30328-9
lab420|LAB_RESULT_CM|30331-3
lab421|LAB_RESULT_CM|30339-6
lab422|LAB_RESULT_CM|3034-6
lab423|LAB_RESULT_CM|30340-4
lab424|LAB_RESULT_CM|30341-2
lab425|LAB_RESULT_CM|30347-9
lab426|LAB_RESULT_CM|30349-5
lab427|LAB_RESULT_CM|30356-0
lab428|LAB_RESULT_CM|30357-8
lab429|LAB_RESULT_CM|30358-6
lab430|LAB_RESULT_CM|3040-3
lab431|LAB_RESULT_CM|30410-5
lab432|LAB_RESULT_CM|30424-6
lab433|LAB_RESULT_CM|30436-0
lab434|LAB_RESULT_CM|30437-8
lab435|LAB_RESULT_CM|30453-5
lab436|LAB_RESULT_CM|30471-7
lab437|LAB_RESULT_CM|3051-0
lab438|LAB_RESULT_CM|30522-7
lab439|LAB_RESULT_CM|3053-6
lab440|LAB_RESULT_CM|30531-8
lab441|LAB_RESULT_CM|30534-2
lab442|LAB_RESULT_CM|30539-1
lab443|LAB_RESULT_CM|30540-9
lab444|LAB_RESULT_CM|30541-7
lab445|LAB_RESULT_CM|30550-8
lab446|LAB_RESULT_CM|30551-6
lab447|LAB_RESULT_CM|30552-4
lab448|LAB_RESULT_CM|30560-7
lab449|LAB_RESULT_CM|30564-9
lab450|LAB_RESULT_CM|30565-6
lab451|LAB_RESULT_CM|30566-4
lab452|LAB_RESULT_CM|30567-2
lab453|LAB_RESULT_CM|3084-1
lab454|LAB_RESULT_CM|3086-6
lab455|LAB_RESULT_CM|3087-4
lab456|LAB_RESULT_CM|3093-2
lab457|LAB_RESULT_CM|3094-0
lab458|LAB_RESULT_CM|3095-7
lab459|LAB_RESULT_CM|3096-5
lab460|LAB_RESULT_CM|31017-7
lab461|LAB_RESULT_CM|31019-3
lab462|LAB_RESULT_CM|31102-7
lab463|LAB_RESULT_CM|31111-8
lab464|LAB_RESULT_CM|31147-2
lab465|LAB_RESULT_CM|31183-7
lab466|LAB_RESULT_CM|3122-9
lab467|LAB_RESULT_CM|3124-5
lab468|LAB_RESULT_CM|3125-2
lab469|LAB_RESULT_CM|3126-0
lab470|LAB_RESULT_CM|3128-6
lab471|LAB_RESULT_CM|31290-0
lab472|LAB_RESULT_CM|31348-6
lab473|LAB_RESULT_CM|31406-2
lab474|LAB_RESULT_CM|31556-4
lab475|LAB_RESULT_CM|31627-3
lab476|LAB_RESULT_CM|31628-1
lab477|LAB_RESULT_CM|31788-3
lab478|LAB_RESULT_CM|3184-9
lab479|LAB_RESULT_CM|3187-2
lab480|LAB_RESULT_CM|3193-0
lab481|LAB_RESULT_CM|3198-9
lab482|LAB_RESULT_CM|3204-5
lab483|LAB_RESULT_CM|3209-4
lab484|LAB_RESULT_CM|32140-6
lab485|LAB_RESULT_CM|3218-5
lab486|LAB_RESULT_CM|32220-6
lab487|LAB_RESULT_CM|3226-8
lab488|LAB_RESULT_CM|32305-5
lab489|LAB_RESULT_CM|3232-6
lab490|LAB_RESULT_CM|32324-6
lab491|LAB_RESULT_CM|32354-3
lab492|LAB_RESULT_CM|3238-3
lab493|LAB_RESULT_CM|32546-4
lab494|LAB_RESULT_CM|3255-7
lab495|LAB_RESULT_CM|32552-2
lab496|LAB_RESULT_CM|32593-6
lab497|LAB_RESULT_CM|32623-1
lab498|LAB_RESULT_CM|32674-4
lab499|LAB_RESULT_CM|32684-3
lab500|LAB_RESULT_CM|3298-7
lab501|LAB_RESULT_CM|32996-1
lab502|LAB_RESULT_CM|32997-9
lab503|LAB_RESULT_CM|32998-7
lab504|LAB_RESULT_CM|33007-6
lab505|LAB_RESULT_CM|33036-5
lab506|LAB_RESULT_CM|33037-3
lab507|LAB_RESULT_CM|33234-6
lab508|LAB_RESULT_CM|3330-8
lab509|LAB_RESULT_CM|3333-2
lab510|LAB_RESULT_CM|33342-7
lab511|LAB_RESULT_CM|3335-7
lab512|LAB_RESULT_CM|33356-7
lab513|LAB_RESULT_CM|33358-3
lab514|LAB_RESULT_CM|33386-4
lab515|LAB_RESULT_CM|33522-4
lab516|LAB_RESULT_CM|33523-2
lab517|LAB_RESULT_CM|33525-7
lab518|LAB_RESULT_CM|33599-2
lab519|LAB_RESULT_CM|33673-5
lab520|LAB_RESULT_CM|3390-2
lab521|LAB_RESULT_CM|33900-2
lab522|LAB_RESULT_CM|33935-8
lab523|LAB_RESULT_CM|33939-0
lab524|LAB_RESULT_CM|33959-8
lab525|LAB_RESULT_CM|33979-6
lab526|LAB_RESULT_CM|33980-4
lab527|LAB_RESULT_CM|3427-2
lab528|LAB_RESULT_CM|3432-2
lab529|LAB_RESULT_CM|34342-6
lab530|LAB_RESULT_CM|34349-1
lab531|LAB_RESULT_CM|34366-5
lab532|LAB_RESULT_CM|34714-6
lab533|LAB_RESULT_CM|35145-2
lab534|LAB_RESULT_CM|35146-0
lab535|LAB_RESULT_CM|35147-8
lab536|LAB_RESULT_CM|35148-6
lab537|LAB_RESULT_CM|35149-4
lab538|LAB_RESULT_CM|35150-2
lab539|LAB_RESULT_CM|35151-0
lab540|LAB_RESULT_CM|35154-4
lab541|LAB_RESULT_CM|35155-1
lab542|LAB_RESULT_CM|35157-7
lab543|LAB_RESULT_CM|35158-5
lab544|LAB_RESULT_CM|35160-1
lab545|LAB_RESULT_CM|35161-9
lab546|LAB_RESULT_CM|35162-7
lab547|LAB_RESULT_CM|35163-5
lab548|LAB_RESULT_CM|35164-3
lab549|LAB_RESULT_CM|35165-0
lab550|LAB_RESULT_CM|35166-8
lab551|LAB_RESULT_CM|35167-6
lab552|LAB_RESULT_CM|35168-4
lab553|LAB_RESULT_CM|35169-2
lab554|LAB_RESULT_CM|35170-0
lab555|LAB_RESULT_CM|35171-8
lab556|LAB_RESULT_CM|35172-6
lab557|LAB_RESULT_CM|35173-4
lab558|LAB_RESULT_CM|35174-2
lab559|LAB_RESULT_CM|35175-9
lab560|LAB_RESULT_CM|35176-7
lab561|LAB_RESULT_CM|35177-5
lab562|LAB_RESULT_CM|35178-3
lab563|LAB_RESULT_CM|35179-1
lab564|LAB_RESULT_CM|35180-9
lab565|LAB_RESULT_CM|35181-7
lab566|LAB_RESULT_CM|35182-5
lab567|LAB_RESULT_CM|3531-1
lab568|LAB_RESULT_CM|35334-2
lab569|LAB_RESULT_CM|35411-8
lab570|LAB_RESULT_CM|35469-6
lab571|LAB_RESULT_CM|35670-9
lab572|LAB_RESULT_CM|3638-4
lab573|LAB_RESULT_CM|3690-5
lab574|LAB_RESULT_CM|36916-5
lab575|LAB_RESULT_CM|3714-3
lab576|LAB_RESULT_CM|3774-7
lab577|LAB_RESULT_CM|3780-4
lab578|LAB_RESULT_CM|3831-5
lab579|LAB_RESULT_CM|38370-3
lab580|LAB_RESULT_CM|38483-4
lab581|LAB_RESULT_CM|3853-9
lab582|LAB_RESULT_CM|3872-9
lab583|LAB_RESULT_CM|3948-7
lab584|LAB_RESULT_CM|3968-5
lab585|LAB_RESULT_CM|3969-3
lab586|LAB_RESULT_CM|3978-4
lab587|LAB_RESULT_CM|4024-6
lab588|LAB_RESULT_CM|4049-3
lab589|LAB_RESULT_CM|4057-6
lab590|LAB_RESULT_CM|4059-2
lab591|LAB_RESULT_CM|40661-1
lab592|LAB_RESULT_CM|40752-8
lab593|LAB_RESULT_CM|40768-4
lab594|LAB_RESULT_CM|40851-8
lab595|LAB_RESULT_CM|4086-5
lab596|LAB_RESULT_CM|40963-1
lab597|LAB_RESULT_CM|40964-9
lab598|LAB_RESULT_CM|40965-6
lab599|LAB_RESULT_CM|40966-4
lab600|LAB_RESULT_CM|40967-2
lab601|LAB_RESULT_CM|40968-0
lab602|LAB_RESULT_CM|40969-8
lab603|LAB_RESULT_CM|40973-0
lab604|LAB_RESULT_CM|40974-8
lab605|LAB_RESULT_CM|41190-0
lab606|LAB_RESULT_CM|41276-7
lab607|LAB_RESULT_CM|41479-7
lab608|LAB_RESULT_CM|41480-5
lab609|LAB_RESULT_CM|41871-5
lab610|LAB_RESULT_CM|42233-7
lab611|LAB_RESULT_CM|42626-2
lab612|LAB_RESULT_CM|42637-9
lab613|LAB_RESULT_CM|4269-7
lab614|LAB_RESULT_CM|43396-1
lab615|LAB_RESULT_CM|43588-3
lab616|LAB_RESULT_CM|43819-2
lab617|LAB_RESULT_CM|44332-5
lab618|LAB_RESULT_CM|44357-2
lab619|LAB_RESULT_CM|44592-4
lab620|LAB_RESULT_CM|4477-6
lab621|LAB_RESULT_CM|4484-2
lab622|LAB_RESULT_CM|4485-9
lab623|LAB_RESULT_CM|4498-2
lab624|LAB_RESULT_CM|4532-8
lab625|LAB_RESULT_CM|4542-7
lab626|LAB_RESULT_CM|4544-3
lab627|LAB_RESULT_CM|4545-0
lab628|LAB_RESULT_CM|4551-8
lab629|LAB_RESULT_CM|4552-6
lab630|LAB_RESULT_CM|4563-3
