VAR_IDX,VAR_POS,TABLE_NAME,FIELD_NAME,VALUESET_ITEM,VALUESET_ITEM_DESCRIPTOR
vital5,2,VITAL,TOBACCO,'04',04=Passive  or  environmental  exposure
vital5,2,VITAL,TOBACCO,'06',06=Not  asked
vital5,2,VITAL,TOBACCO,'NI',NI=No  information
vital5,2,VITAL,TOBACCO,'UN',UN=Unknown
vital5,2,VITAL,TOBACCO,'OT',OT=Other
vital6,2,VITAL,TOBACCO_TYPE,'01',01=Smoked  tobacco  only
vital6,2,VITAL,TOBACCO_TYPE,'02',02=Non-smoked  tobacco  only
vital6,2,VITAL,TOBACCO_TYPE,'03',03=Use  of  both  smoked  and  non-smoked  tobacco  products
vital6,2,VITAL,TOBACCO_TYPE,'04',04=None
vital6,2,VITAL,TOBACCO_TYPE,'05',05=Use  of  smoked  tobacco  but  no  information  about  non-smoked  tobacco  use
vital6,2,VITAL,TOBACCO_TYPE,'NI',NI=No  information
vital6,2,VITAL,TOBACCO_TYPE,'UN',UN=Unknown
vital6,2,VITAL,TOBACCO_TYPE,'OT',OT=Other
vital7,2,VITAL,BP_SYSTOLIC,'BP_SYSTOLIC',systolic blood pressure
vital8,2,VITAL,BP_DIASTOLIC,'BP_DIASTOLIC',diastolic blood pressure
lab1,3,LAB_RESULT_CM,LOINC,'10365-5',Cotinine SerPl-mCnc (10365-5) 
lab2,3,LAB_RESULT_CM,LOINC,'10501-5',LH SerPl-aCnc (10501-5) 
lab3,3,LAB_RESULT_CM,LOINC,'10535-3',Digoxin SerPl-mCnc (10535-3) 
lab4,3,LAB_RESULT_CM,LOINC,'10676-5',HCV RNA SerPl Amp Prb-aCnc (10676-5) 
lab5,3,LAB_RESULT_CM,LOINC,'10839-9',Troponin I SerPl-mCnc (10839-9) 
lab6,3,LAB_RESULT_CM,LOINC,'10882-9',Penta-CP SerPl-mCnc (10882-9) 
lab7,3,LAB_RESULT_CM,LOINC,'10886-0',PSA Free SerPl-mCnc (10886-0) 
lab8,3,LAB_RESULT_CM,LOINC,'10989-2',Itraconaz SerPl-mCnc (10989-2) 
lab9,3,LAB_RESULT_CM,LOINC,'11013-0',dsDNA Ab Titr Ser (11013-0) 
lab10,3,LAB_RESULT_CM,LOINC,'11031-2',Lymphocytes/leuk NFr Fld (11031-2) 
lab11,3,LAB_RESULT_CM,LOINC,'11034-6',AChR Bind Ab Ser-sCnc (11034-6) 
lab12,3,LAB_RESULT_CM,LOINC,'11146-8',HVA/Creat Ur (11146-8) 
lab13,3,LAB_RESULT_CM,LOINC,'11153-4',Hct VFr Fld (11153-4) 
lab14,3,LAB_RESULT_CM,LOINC,'11246-6',Oxycodone Ur-mCnc (11246-6) 
lab15,3,LAB_RESULT_CM,LOINC,'11253-2',Tacrolimus Bld-mCnc (11253-2) 
lab16,3,LAB_RESULT_CM,LOINC,'11257-3',Haem influ B IgG Ser EIA-mCnc (11257-3) 
lab17,3,LAB_RESULT_CM,LOINC,'11572-5',Rheumatoid fact SerPl-aCnc (11572-5) 
lab18,3,LAB_RESULT_CM,LOINC,'12183-0',Cholest Fld-mCnc (12183-0) 
lab19,3,LAB_RESULT_CM,LOINC,'12190-5',Creat Fld-mCnc (12190-5) 
lab20,3,LAB_RESULT_CM,LOINC,'12195-4',Creat Cl/1.73 sq M 24h Ur+SerPl-ArVRat (12195-4) 
lab21,3,LAB_RESULT_CM,LOINC,'12228-3',Trigl Fld-mCnc (12228-3) 
lab22,3,LAB_RESULT_CM,LOINC,'12480-0',ACE CSF-cCnc (12480-0) 
lab23,3,LAB_RESULT_CM,LOINC,'12515-3',CEA Fld-mCnc (12515-3) 
lab24,3,LAB_RESULT_CM,LOINC,'12841-3',PSA Free MFr SerPl (12841-3) 
lab25,3,LAB_RESULT_CM,LOINC,'13046-8',Variant Lymphs/leuk NFr Bld (13046-8) 
lab26,3,LAB_RESULT_CM,LOINC,'13047-6',Plasma Cells/leuk NFr Bld (13047-6) 
lab27,3,LAB_RESULT_CM,LOINC,'13363-7',Collect duration Time Stl (13363-7) 
lab28,3,LAB_RESULT_CM,LOINC,'13532-7',Xanthochromia CSF Ql (13532-7) 
lab29,3,LAB_RESULT_CM,LOINC,'13722-4',Citrate/Creat Ur (13722-4) 
lab30,3,LAB_RESULT_CM,LOINC,'13756-2',Histamine/Creat 24h Ur (13756-2) 
lab31,3,LAB_RESULT_CM,LOINC,'13964-2',Methylmalonate SerPl-sCnc (13964-2) 
lab32,3,LAB_RESULT_CM,LOINC,'13965-9',Hcys SerPl-sCnc (13965-9) 
lab33,3,LAB_RESULT_CM,LOINC,'13967-5',SHBG SerPl-sCnc (13967-5) 
lab34,3,LAB_RESULT_CM,LOINC,'13969-1',CK MB SerPl-mCnc (13969-1) 
lab35,3,LAB_RESULT_CM,LOINC,'13978-2',Alpha1 Glob MFr SerPl Elph (13978-2) 
lab36,3,LAB_RESULT_CM,LOINC,'13980-8',Albumin MFr SerPl Elph (13980-8) 
lab37,3,LAB_RESULT_CM,LOINC,'13981-6',Alpha2 Glob MFr SerPl Elph (13981-6) 
lab38,3,LAB_RESULT_CM,LOINC,'13982-4',B-Globulin MFr SerPl Elph (13982-4) 
lab39,3,LAB_RESULT_CM,LOINC,'13983-2',Gamma glob MFr SerPl Elph (13983-2) 
lab40,3,LAB_RESULT_CM,LOINC,'13990-7',Alpha1 Glob MFr Ur Elph (13990-7) 
lab41,3,LAB_RESULT_CM,LOINC,'13992-3',Albumin MFr Ur Elph (13992-3) 
lab42,3,LAB_RESULT_CM,LOINC,'13993-1',Alpha2 Glob MFr Ur Elph (13993-1) 
lab43,3,LAB_RESULT_CM,LOINC,'13994-9',B-Globulin MFr Ur Elph (13994-9) 
lab44,3,LAB_RESULT_CM,LOINC,'13995-6',Gamma glob MFr Ur Elph (13995-6) 
lab45,3,LAB_RESULT_CM,LOINC,'14003-8',pCO2 BldCo (14003-8) 
lab46,3,LAB_RESULT_CM,LOINC,'14116-8',IgG Synth Rate Ser+CSF Calc-mRate (14116-8) 
lab47,3,LAB_RESULT_CM,LOINC,'14117-6',IgG index Ser+CSF (14117-6) 
lab48,3,LAB_RESULT_CM,LOINC,'14121-8',Pyruvate Bld-sCnc (14121-8) 
lab49,3,LAB_RESULT_CM,LOINC,'14135-8',CD3+CD8+ Cells # Bld (14135-8) 
lab50,3,LAB_RESULT_CM,LOINC,'14136-6',CD34 Cells # Bld (14136-6) 
lab51,3,LAB_RESULT_CM,LOINC,'14157-2',Copro SerPl-mCnc (14157-2) 
lab52,3,LAB_RESULT_CM,LOINC,'14158-0',Cortis 24h Ur-mRate (14158-0) 
lab53,3,LAB_RESULT_CM,LOINC,'14170-5',a-PGH Ser-mCnc (14170-5) 
lab54,3,LAB_RESULT_CM,LOINC,'14196-0',Retics # (14196-0) 
lab55,3,LAB_RESULT_CM,LOINC,'14252-1',Smooth muscle Ab Ser Ql (14252-1) 
lab56,3,LAB_RESULT_CM,LOINC,'14274-5',Uropor SerPl-mCnc (14274-5) 
lab57,3,LAB_RESULT_CM,LOINC,'14282-8',Acylcarnitine SerPl-sCnc (14282-8) 
lab58,3,LAB_RESULT_CM,LOINC,'14286-9',Carnitine Free SerPl-sCnc (14286-9) 
lab59,3,LAB_RESULT_CM,LOINC,'14288-5',Carnitine SerPl-sCnc (14288-5) 
lab60,3,LAB_RESULT_CM,LOINC,'14334-7',Lithium SerPl-sCnc (14334-7) 
lab61,3,LAB_RESULT_CM,LOINC,'14338-8',Prealb SerPl-mCnc (14338-8) 
lab62,3,LAB_RESULT_CM,LOINC,'14388-3',Amylase Snv-cCnc (14388-3) 
lab63,3,LAB_RESULT_CM,LOINC,'14627-4',HCO3 BldV-sCnc (14627-4) 
lab64,3,LAB_RESULT_CM,LOINC,'14803-1',LDH Fld L to P-cCnc (14803-1) 
lab65,3,LAB_RESULT_CM,LOINC,'14836-1',MTX SerPl-sCnc (14836-1) 
lab66,3,LAB_RESULT_CM,LOINC,'14862-7',Oxalate 24h Ur-sRate (14862-7) 
lab67,3,LAB_RESULT_CM,LOINC,'14864-3',pO2 BldCo (14864-3) 
lab68,3,LAB_RESULT_CM,LOINC,'14873-4',pH BldCo (14873-4) 
lab69,3,LAB_RESULT_CM,LOINC,'14875-9',Phe SerPl-sCnc (14875-9) 
lab70,3,LAB_RESULT_CM,LOINC,'14882-5',PBG 24h Ur-sRate (14882-5) 
lab71,3,LAB_RESULT_CM,LOINC,'14957-5',Microalbumin Ur-mCnc (14957-5) 
lab72,3,LAB_RESULT_CM,LOINC,'14959-1',Microalbumin/Creat Ur (14959-1) 
lab73,3,LAB_RESULT_CM,LOINC,'14979-9',aPTT PPP (14979-9) 
lab74,3,LAB_RESULT_CM,LOINC,'15041-7',Copro 24h Ur-sRate (15041-7) 
lab75,3,LAB_RESULT_CM,LOINC,'15061-5',EPO SerPl-aCnc (15061-5) 
lab76,3,LAB_RESULT_CM,LOINC,'15067-2',FSH SerPl-aCnc (15067-2) 
lab77,3,LAB_RESULT_CM,LOINC,'15069-8',Fructosamine SerPl-sCnc (15069-8) 
lab78,3,LAB_RESULT_CM,LOINC,'15087-0',PTH Related Prot SerPl-sCnc (15087-0) 
lab79,3,LAB_RESULT_CM,LOINC,'15096-1',Uropor 24h Ur-sRate (15096-1) 
lab80,3,LAB_RESULT_CM,LOINC,'15112-6',LAP WBC-aCnc (15112-6) 
lab81,3,LAB_RESULT_CM,LOINC,'15155-5',Calcium Fld-mCnc (15155-5) 
lab82,3,LAB_RESULT_CM,LOINC,'15158-9',Chloride Stl-sCnc (15158-9) 
lab83,3,LAB_RESULT_CM,LOINC,'15159-7',Extrins clotting path PPP-Imp (15159-7) 
lab84,3,LAB_RESULT_CM,LOINC,'15202-5',Potassium Stl-sCnc (15202-5) 
lab85,3,LAB_RESULT_CM,LOINC,'15207-4',Sodium Stl-sCnc (15207-4) 
lab86,3,LAB_RESULT_CM,LOINC,'15212-4',Lipase Fld-cCnc (15212-4) 
lab87,3,LAB_RESULT_CM,LOINC,'15363-5',Busulfan SerPl-mCnc (15363-5) 
lab88,3,LAB_RESULT_CM,LOINC,'16135-6',B2 Glycoprot1 IgG Ser-aCnc (16135-6) 
lab89,3,LAB_RESULT_CM,LOINC,'16136-4',B2 Glycoprot1 IgM Ser-aCnc (16136-4) 
lab90,3,LAB_RESULT_CM,LOINC,'16142-2',Fat 24h Stl-mRate (16142-2) 
lab91,3,LAB_RESULT_CM,LOINC,'16182-8',ALP Isos SerPl HS-cCnc (16182-8) 
lab92,3,LAB_RESULT_CM,LOINC,'16935-9',HBV surface Ab Ser-aCnc (16935-9) 
lab93,3,LAB_RESULT_CM,LOINC,'1695-6',5OH-indoleacetate 24h Ur-mRate (1695-6) 
lab94,3,LAB_RESULT_CM,LOINC,'17284-1',Mitochondria Ab Ser Ql IF (17284-1) 
lab95,3,LAB_RESULT_CM,LOINC,'17351-8',ANCA Ab Ser Ql (17351-8) 
lab96,3,LAB_RESULT_CM,LOINC,'1742-6',ALT SerPl-cCnc (1742-6) 
lab97,3,LAB_RESULT_CM,LOINC,'1747-5',Albumin Fld-mCnc (1747-5) 
lab98,3,LAB_RESULT_CM,LOINC,'17527-3',Vit A Free SerPl-mCnc (17527-3) 
lab99,3,LAB_RESULT_CM,LOINC,'1761-6',Aldolase SerPl-cCnc (1761-6) 
lab100,3,LAB_RESULT_CM,LOINC,'1763-2',Aldost SerPl-mCnc (1763-2) 
lab101,3,LAB_RESULT_CM,LOINC,'1765-7',Aldost 24h Ur-mRate (1765-7) 
lab102,3,LAB_RESULT_CM,LOINC,'17713-9',Topiramate SerPl-mCnc (17713-9) 
lab103,3,LAB_RESULT_CM,LOINC,'1777-2',ALP Bone SerPl-cCnc (1777-2) 
lab104,3,LAB_RESULT_CM,LOINC,'17781-6',21Hydroxylase Ab Ser-aCnc (17781-6) 
lab105,3,LAB_RESULT_CM,LOINC,'17842-6',Cancer Ag27-29 SerPl-aCnc (17842-6) 
lab106,3,LAB_RESULT_CM,LOINC,'17849-1',Retics/100 RBC NFr Auto (17849-1) 
lab107,3,LAB_RESULT_CM,LOINC,'17856-6',Hgb A1c MFr Bld HPLC (17856-6) 
lab108,3,LAB_RESULT_CM,LOINC,'17861-6',Calcium SerPl-mCnc (17861-6) 
lab109,3,LAB_RESULT_CM,LOINC,'17862-4',Calcium Ur-mCnc (17862-4) 
lab110,3,LAB_RESULT_CM,LOINC,'1795-4',Amylase Fld-cCnc (1795-4) 
lab111,3,LAB_RESULT_CM,LOINC,'1798-8',Amylase SerPl-cCnc (1798-8) 
lab112,3,LAB_RESULT_CM,LOINC,'1823-4',A-Tocopherol Vit E SerPl-mCnc (1823-4) 
lab113,3,LAB_RESULT_CM,LOINC,'18267-5',CD16+CD56+ Cells NFr Bld (18267-5) 
lab114,3,LAB_RESULT_CM,LOINC,'18337-6',OH-Itraconaz SerPl-mCnc (18337-6) 
lab115,3,LAB_RESULT_CM,LOINC,'1834-1',AFP SerPl-mCnc (1834-1) 
lab116,3,LAB_RESULT_CM,LOINC,'1854-9',Androst SerPl-mCnc (1854-9) 
lab117,3,LAB_RESULT_CM,LOINC,'1884-6',Apo B SerPl-mCnc (1884-6) 
lab118,3,LAB_RESULT_CM,LOINC,'1903-4',Vit C SerPl-mCnc (1903-4) 
lab119,3,LAB_RESULT_CM,LOINC,'19049-6',Metaneph 24h Ur-mRate (19049-6) 
lab120,3,LAB_RESULT_CM,LOINC,'19076-9',Total Cells Counted XXX (19076-9) 
lab121,3,LAB_RESULT_CM,LOINC,'19113-0',IgE SerPl-aCnc (19113-0) 
lab122,3,LAB_RESULT_CM,LOINC,'19114-8',Lamellar Bod # Amn (19114-8) 
lab123,3,LAB_RESULT_CM,LOINC,'19123-9',Magnesium SerPl-mCnc (19123-9) 
lab124,3,LAB_RESULT_CM,LOINC,'19124-7',Magnesium Ur-mCnc (19124-7) 
lab125,3,LAB_RESULT_CM,LOINC,'1920-8',AST SerPl-cCnc (1920-8) 
lab126,3,LAB_RESULT_CM,LOINC,'19211-2',pO2 BldMV (19211-2) 
lab127,3,LAB_RESULT_CM,LOINC,'19212-0',pCO2 BldMV (19212-0) 
lab128,3,LAB_RESULT_CM,LOINC,'19213-8',pH BldMV (19213-8) 
lab129,3,LAB_RESULT_CM,LOINC,'1922-4',Base deficit BldA-sCnc (1922-4) 
lab130,3,LAB_RESULT_CM,LOINC,'19229-4',HCO3 BldMV-sCnc (19229-4) 
lab131,3,LAB_RESULT_CM,LOINC,'1923-2',Base deficit BldC-sCnc (1923-2) 
lab132,3,LAB_RESULT_CM,LOINC,'19234-4',Base excess BldMV Calc-sCnc (19234-4) 
lab133,3,LAB_RESULT_CM,LOINC,'19235-1',Base excess std BldA Calc-sCnc (19235-1) 
lab134,3,LAB_RESULT_CM,LOINC,'19236-9',Base excess std BldC Calc-sCnc (19236-9) 
lab135,3,LAB_RESULT_CM,LOINC,'19237-7',Base excess std BldV Calc-sCnc (19237-7) 
lab136,3,LAB_RESULT_CM,LOINC,'19238-5',Base excess std BldMV Calc-sCnc (19238-5) 
lab137,3,LAB_RESULT_CM,LOINC,'1924-0',Base deficit BldV-sCnc (1924-0) 
lab138,3,LAB_RESULT_CM,LOINC,'1926-5',Base excess BldC Calc-sCnc (1926-5) 
lab139,3,LAB_RESULT_CM,LOINC,'1927-3',Base excess BldV Calc-sCnc (1927-3) 
lab140,3,LAB_RESULT_CM,LOINC,'19346-6',Amphet Ur-mCnc (19346-6) 
lab141,3,LAB_RESULT_CM,LOINC,'1952-1',B2 Microglob Ser-mCnc (1952-1) 
lab142,3,LAB_RESULT_CM,LOINC,'1956-2',Hexosaminidase A Ser-cCnc (1956-2) 
lab143,3,LAB_RESULT_CM,LOINC,'1960-4',HCO3 BldA-sCnc (1960-4) 
lab144,3,LAB_RESULT_CM,LOINC,'1961-2',HCO3 BldC-sCnc (1961-2) 
lab145,3,LAB_RESULT_CM,LOINC,'1963-8',HCO3 Ser-sCnc (1963-8) 
lab146,3,LAB_RESULT_CM,LOINC,'1964-6',HCO3 Ur-sCnc (1964-6) 
lab147,3,LAB_RESULT_CM,LOINC,'1968-7',Bilirub Direct SerPl-mCnc (1968-7) 
lab148,3,LAB_RESULT_CM,LOINC,'19726-9',A fumigatus IgG Ser Ql (19726-9) 
lab149,3,LAB_RESULT_CM,LOINC,'1974-5',Bilirub Fld-mCnc (1974-5) 
lab150,3,LAB_RESULT_CM,LOINC,'1975-2',Bilirub SerPl-mCnc (1975-2) 
lab151,3,LAB_RESULT_CM,LOINC,'1982-8',Biotinidase SerPl-cCnc (1982-8) 
lab152,3,LAB_RESULT_CM,LOINC,'1986-9',C peptide SerPl-mCnc (1986-9) 
lab153,3,LAB_RESULT_CM,LOINC,'1988-5',CRP SerPl-mCnc (1988-5) 
lab154,3,LAB_RESULT_CM,LOINC,'1992-7',Calcit SerPl-mCnc (1992-7) 
lab155,3,LAB_RESULT_CM,LOINC,'1994-3',Ca-I Bld-sCnc (1994-3) 
lab156,3,LAB_RESULT_CM,LOINC,'2019-8',pCO2 BldA (2019-8) 
lab157,3,LAB_RESULT_CM,LOINC,'2020-6',pCO2 BldC (2020-6) 
lab158,3,LAB_RESULT_CM,LOINC,'2021-4',pCO2 BldV (2021-4) 
lab159,3,LAB_RESULT_CM,LOINC,'2032-1',COHgb MFr BldV (2032-1) 
lab160,3,LAB_RESULT_CM,LOINC,'2039-6',CEA SerPl-mCnc (2039-6) 
lab161,3,LAB_RESULT_CM,LOINC,'20402-4',CD16+CD56+ Cells # Bld (20402-4) 
lab162,3,LAB_RESULT_CM,LOINC,'20416-4',HCV RNA # SerPl PCR (20416-4) 
lab163,3,LAB_RESULT_CM,LOINC,'20420-6',PACP Ser-mCnc (20420-6) 
lab164,3,LAB_RESULT_CM,LOINC,'20436-2',Glucose 2h p Glc SerPl-mCnc (20436-2) 
lab165,3,LAB_RESULT_CM,LOINC,'20447-9',HIV1 RNA # SerPl PCR (20447-9) 
lab166,3,LAB_RESULT_CM,LOINC,'20448-7',Insulin SerPl-aCnc (20448-7) 
lab167,3,LAB_RESULT_CM,LOINC,'20509-6',Hgb Bld Calc-mCnc (20509-6) 
lab168,3,LAB_RESULT_CM,LOINC,'20565-8',CO2 Bld-sCnc (20565-8) 
lab169,3,LAB_RESULT_CM,LOINC,'20570-8',Hct VFr Bld (20570-8) 
lab170,3,LAB_RESULT_CM,LOINC,'20572-4',Hgb A MFr Bld Elph (20572-4) 
lab171,3,LAB_RESULT_CM,LOINC,'20578-1',Vancomycin SerPl-mCnc (20578-1) 
lab172,3,LAB_RESULT_CM,LOINC,'20598-9',CD3 Cells # XXX (20598-9) 
lab173,3,LAB_RESULT_CM,LOINC,'20599-7',CD3 Cells NFr XXX (20599-7) 
lab174,3,LAB_RESULT_CM,LOINC,'20602-9',CD34 Cells NFr XXX (20602-9) 
lab175,3,LAB_RESULT_CM,LOINC,'20634-2',A-Aminobutyr SerPl-sCnc (20634-2) 
lab176,3,LAB_RESULT_CM,LOINC,'20636-7',Alanine SerPl-sCnc (20636-7) 
lab177,3,LAB_RESULT_CM,LOINC,'20637-5',Arginine SerPl-sCnc (20637-5) 
lab178,3,LAB_RESULT_CM,LOINC,'20638-3',Asparagine SerPl-sCnc (20638-3) 
lab179,3,LAB_RESULT_CM,LOINC,'2064-4',Ceruloplasmin SerPl-mCnc (2064-4) 
lab180,3,LAB_RESULT_CM,LOINC,'20640-9',Citrulline SerPl-sCnc (20640-9) 
lab181,3,LAB_RESULT_CM,LOINC,'20642-5',Glutamate SerPl-sCnc (20642-5) 
lab182,3,LAB_RESULT_CM,LOINC,'20643-3',Glutamine SerPl-sCnc (20643-3) 
lab183,3,LAB_RESULT_CM,LOINC,'20644-1',Glycine SerPl-sCnc (20644-1) 
lab184,3,LAB_RESULT_CM,LOINC,'20645-8',Histidine SerPl-sCnc (20645-8) 
lab185,3,LAB_RESULT_CM,LOINC,'20648-2',Isoleucine SerPl-sCnc (20648-2) 
lab186,3,LAB_RESULT_CM,LOINC,'20649-0',Leucine SerPl-sCnc (20649-0) 
lab187,3,LAB_RESULT_CM,LOINC,'20650-8',Lysine SerPl-sCnc (20650-8) 
lab188,3,LAB_RESULT_CM,LOINC,'20651-6',Methionine SerPl-sCnc (20651-6) 
lab189,3,LAB_RESULT_CM,LOINC,'20652-4',Ornithine SerPl-sCnc (20652-4) 
lab190,3,LAB_RESULT_CM,LOINC,'20655-7',Proline SerPl-sCnc (20655-7) 
lab191,3,LAB_RESULT_CM,LOINC,'20656-5',Serine SerPl-sCnc (20656-5) 
lab192,3,LAB_RESULT_CM,LOINC,'20657-3',Taurine SerPl-sCnc (20657-3) 
lab193,3,LAB_RESULT_CM,LOINC,'20658-1',Threonine SerPl-sCnc (20658-1) 
lab194,3,LAB_RESULT_CM,LOINC,'20660-7',Tyrosine SerPl-sCnc (20660-7) 
lab195,3,LAB_RESULT_CM,LOINC,'20661-5',Valine SerPl-sCnc (20661-5) 
lab196,3,LAB_RESULT_CM,LOINC,'2069-3',Chloride Bld-sCnc (2069-3) 
lab197,3,LAB_RESULT_CM,LOINC,'2070-1',Chloride CSF-sCnc (2070-1) 
lab198,3,LAB_RESULT_CM,LOINC,'2072-7',Chloride Fld-sCnc (2072-7) 
lab199,3,LAB_RESULT_CM,LOINC,'2075-0',Chloride SerPl-sCnc (2075-0) 
lab200,3,LAB_RESULT_CM,LOINC,'2078-4',Chloride Ur-sCnc (2078-4) 
lab201,3,LAB_RESULT_CM,LOINC,'2079-2',Chloride 24h Ur-sRate (2079-2) 
lab202,3,LAB_RESULT_CM,LOINC,'2085-9',HDLc SerPl-mCnc (2085-9) 
lab203,3,LAB_RESULT_CM,LOINC,'2089-1',LDLc SerPl-mCnc (2089-1) 
lab204,3,LAB_RESULT_CM,LOINC,'2091-7',VLDLc SerPl-mCnc (2091-7) 
lab205,3,LAB_RESULT_CM,LOINC,'2093-3',Cholest SerPl-mCnc (2093-3) 
lab206,3,LAB_RESULT_CM,LOINC,'2106-3',HCG Preg Ur Ql (2106-3) 
lab207,3,LAB_RESULT_CM,LOINC,'21108-6',B2 Glycoprot1 IgA Ser-aCnc (21108-6) 
lab208,3,LAB_RESULT_CM,LOINC,'2116-2',HGC Intact SerPl Ql (2116-2) 
lab209,3,LAB_RESULT_CM,LOINC,'21198-7',B-HCG SerPl-aCnc (21198-7) 
lab210,3,LAB_RESULT_CM,LOINC,'21203-5',Citrate 24h Ur-mCnc (21203-5) 
lab211,3,LAB_RESULT_CM,LOINC,'21216-7',Collagen NTx/Creat 24h Ur-sRto (21216-7) 
lab212,3,LAB_RESULT_CM,LOINC,'21219-1',Copper 24h Ur-mCnc (21219-1) 
lab213,3,LAB_RESULT_CM,LOINC,'2128-7',Citrate Ur-mCnc (2128-7) 
lab214,3,LAB_RESULT_CM,LOINC,'2141-0',ACTH Plas-mCnc (2141-0) 
lab215,3,LAB_RESULT_CM,LOINC,'2142-8',Cortis Sal-mCnc (2142-8) 
lab216,3,LAB_RESULT_CM,LOINC,'2143-6',Cortis SerPl-mCnc (2143-6) 
lab217,3,LAB_RESULT_CM,LOINC,'2145-1',Cortis F SerPl-mCnc (2145-1) 
lab218,3,LAB_RESULT_CM,LOINC,'21518-6',ENA Scl70 IgG Ser Ql (21518-6) 
lab219,3,LAB_RESULT_CM,LOINC,'21563-2',TPMT RBC-cCnc (21563-2) 
lab220,3,LAB_RESULT_CM,LOINC,'2157-6',CK SerPl-cCnc (2157-6) 
lab221,3,LAB_RESULT_CM,LOINC,'21582-2',Tryptase SerPl-mCnc (21582-2) 
lab222,3,LAB_RESULT_CM,LOINC,'2160-0',Creat SerPl-mCnc (2160-0) 
lab223,3,LAB_RESULT_CM,LOINC,'2161-8',Creat Ur-mCnc (2161-8) 
lab224,3,LAB_RESULT_CM,LOINC,'2162-6',Creat 24h Ur-mRate (2162-6) 
lab225,3,LAB_RESULT_CM,LOINC,'2171-7',Vit B12 USB SerPl-mCnc (2171-7) 
lab226,3,LAB_RESULT_CM,LOINC,'2191-5',DHEA-S SerPl-mCnc (2191-5) 
lab227,3,LAB_RESULT_CM,LOINC,'2193-1',DHEA SerPl-mCnc (2193-1) 
lab228,3,LAB_RESULT_CM,LOINC,'2216-0',Dopamine SerPl-mCnc (2216-0) 
lab229,3,LAB_RESULT_CM,LOINC,'2218-6',Dopamine 24h Ur-mRate (2218-6) 
lab230,3,LAB_RESULT_CM,LOINC,'22203-4',C tetani IgG Ser-aCnc (22203-4) 
lab231,3,LAB_RESULT_CM,LOINC,'22244-8',CMV IgG Ser Ql (22244-8) 
lab232,3,LAB_RESULT_CM,LOINC,'2230-1',Epineph Plas-mCnc (2230-1) 
lab233,3,LAB_RESULT_CM,LOINC,'2243-4',Estradiol SerPl-mCnc (2243-4) 
lab234,3,LAB_RESULT_CM,LOINC,'2258-2',Estrone SerPl-mCnc (2258-2) 
lab235,3,LAB_RESULT_CM,LOINC,'22670-4',Alloisoleucine SerPl-sCnc (22670-4) 
