demo1|AGE
demo2|Y
demo2|N
demo2|UN
demo3|01
demo3|02
demo3|03
demo3|04
demo3|05
demo3|06
demo3|UN
demo3|OT
demo4|F
demo4|M
vital3|BMI
vital7|BP_SYSTOLIC
vital8|BP_DIASTOLIC
lab361|LAB_RESULT_CM|2861-3
lab362|LAB_RESULT_CM|2862-1
lab36|LAB_RESULT_CM|13980-8
lab387|LAB_RESULT_CM|30003-8
lab41|LAB_RESULT_CM|13992-3
lab71|LAB_RESULT_CM|14957-5
lab72|LAB_RESULT_CM|14959-1
lab732|LAB_RESULT_CM|61151-7
lab97|LAB_RESULT_CM|1747-5
lab343|LAB_RESULT_CM|2777-1
lab344|LAB_RESULT_CM|2778-9
lab345|LAB_RESULT_CM|2779-7
lab287|LAB_RESULT_CM|26450-7
lab288|LAB_RESULT_CM|26451-5
lab496|LAB_RESULT_CM|32593-6
lab769|LAB_RESULT_CM|711-2
lab770|LAB_RESULT_CM|713-8
lab10|LAB_RESULT_CM|11031-2
lab298|LAB_RESULT_CM|26474-7
lab299|LAB_RESULT_CM|26478-8
lab300|LAB_RESULT_CM|26479-6
lab774|LAB_RESULT_CM|731-0
lab775|LAB_RESULT_CM|736-9
lab376|LAB_RESULT_CM|2947-0
lab377|LAB_RESULT_CM|2950-4
lab378|LAB_RESULT_CM|2951-2
lab379|LAB_RESULT_CM|2955-3
lab380|LAB_RESULT_CM|2956-1
lab85|LAB_RESULT_CM|15207-4
lab5|LAB_RESULT_CM|10839-9
lab771|LAB_RESULT_CM|71693-6
lab782|LAB_RESULT_CM|777-3
lab457|LAB_RESULT_CM|3094-0
lab739|LAB_RESULT_CM|6299-2
lab392|LAB_RESULT_CM|30180-4
lab767|LAB_RESULT_CM|704-7
lab768|LAB_RESULT_CM|706-2
lab304|LAB_RESULT_CM|26511-6
lab779|LAB_RESULT_CM|751-8
lab780|LAB_RESULT_CM|770-8
lab494|LAB_RESULT_CM|3255-7
lab238|LAB_RESULT_CM|2276-4
lab125|LAB_RESULT_CM|1920-8
lab219|LAB_RESULT_CM|21563-2
lab106|LAB_RESULT_CM|17849-1
lab506|LAB_RESULT_CM|33037-3
lab606|LAB_RESULT_CM|41276-7
lab778|LAB_RESULT_CM|742-7
lab716|LAB_RESULT_CM|5905-5
lab524|LAB_RESULT_CM|33959-8
lab495|LAB_RESULT_CM|32552-2
lab493|LAB_RESULT_CM|32546-4
lab704|LAB_RESULT_CM|57734-6
med1036|PRESCRIBING|11160
med1918|PRESCRIBING|1359936
med1927|PRESCRIBING|1360172
med1928|PRESCRIBING|1360172
med2515|PRESCRIBING|1551652
med2516|PRESCRIBING|1551652
med2614|PRESCRIBING|1604539
med2615|PRESCRIBING|1604539
med2616|PRESCRIBING|1604540
med2689|PRESCRIBING|1652239
med2692|PRESCRIBING|1652639
med2693|PRESCRIBING|1652639
med2694|PRESCRIBING|1652644
med2695|PRESCRIBING|1652644
med2705|PRESCRIBING|1653202
med2706|PRESCRIBING|1653202
med2717|PRESCRIBING|1654862
med2718|PRESCRIBING|1654862
med2970|PRESCRIBING|1670021
med2971|PRESCRIBING|1670021
med3561|PRESCRIBING|1858995
med3570|PRESCRIBING|1860167
med3571|PRESCRIBING|1860167
med5198|PRESCRIBING|237527
med5199|PRESCRIBING|237528
med5530|PRESCRIBING|242120
med5531|PRESCRIBING|242120
med5817|PRESCRIBING|259111
med5818|PRESCRIBING|259111
med5955|PRESCRIBING|260265
med6692|PRESCRIBING|311028
med6693|PRESCRIBING|311028
med6694|PRESCRIBING|311034
med6695|PRESCRIBING|311034
med6696|PRESCRIBING|311040
med6697|PRESCRIBING|311040
med6698|PRESCRIBING|311041
med6699|PRESCRIBING|311041
med6700|PRESCRIBING|311048
med6701|PRESCRIBING|311048
med6702|PRESCRIBING|311054
med7720|PRESCRIBING|351297
med7721|PRESCRIBING|351297
med8170|PRESCRIBING|431196
med8171|PRESCRIBING|431248
med8172|PRESCRIBING|431248
med8173|PRESCRIBING|431252
med8174|PRESCRIBING|431264
med8329|PRESCRIBING|484322
med8330|PRESCRIBING|484322
med8342|PRESCRIBING|485210
med8343|PRESCRIBING|485210
med9838|PRESCRIBING|847187
med9841|PRESCRIBING|847203
med9842|PRESCRIBING|847203
med9849|PRESCRIBING|847259
med9850|PRESCRIBING|847259
med9851|PRESCRIBING|847417
med1170|PRESCRIBING|1151127
med1171|PRESCRIBING|1151127
med1562|PRESCRIBING|1251190
med1563|PRESCRIBING|1251190
px11165|PROCEDURE|36430
px2106|PROCEDURE|ICD9:99.05
px8265|PROCEDURE|ICD10:30233K1
px8266|PROCEDURE|ICD10:30233L1
px8267|PROCEDURE|ICD10:30233M1
px8268|PROCEDURE|ICD10:30233N1
px8269|PROCEDURE|ICD10:30233R1
px8279|PROCEDURE|ICD10:30243M1
px8288|PROCEDURE|ICD10:30253R1
px13034|PROCEDURE|70481
px13070|PROCEDURE|71260
px13096|PROCEDURE|72129
px13238|PROCEDURE|75574
px13243|PROCEDURE|75635
px8578|PROCEDURE|ICD10:B0201ZZ
px8580|PROCEDURE|ICD10:B0271ZZ
px8582|PROCEDURE|ICD10:B02B10Z
px8583|PROCEDURE|ICD10:B02B1ZZ
px8622|PROCEDURE|ICD10:B2211ZZ
px8626|PROCEDURE|ICD10:B2261ZZ
px8765|PROCEDURE|ICD10:B3251ZZ
px8768|PROCEDURE|ICD10:B3281ZZ
px8773|PROCEDURE|ICD10:B32R1ZZ
px8776|PROCEDURE|ICD10:B32S1ZZ
px8778|PROCEDURE|ICD10:B32T1ZZ
px8857|PROCEDURE|ICD10:B4201ZZ
px8859|PROCEDURE|ICD10:B42C1ZZ
px8861|PROCEDURE|ICD10:B42GYZZ
px8948|PROCEDURE|ICD10:B52S1ZZ
px8963|PROCEDURE|ICD10:BB241ZZ
px9055|PROCEDURE|ICD10:BW20YZZ
px9057|PROCEDURE|ICD10:BW211ZZ
px9058|PROCEDURE|ICD10:BW21YZZ
px9060|PROCEDURE|ICD10:BW241ZZ
px9061|PROCEDURE|ICD10:BW24YZZ
px9063|PROCEDURE|ICD10:BW251ZZ
px9064|PROCEDURE|ICD10:BW25YZZ
px9066|PROCEDURE|ICD10:BW281ZZ
px9067|PROCEDURE|ICD10:BW291ZZ
px9068|PROCEDURE|ICD10:BW2F1ZZ
px9069|PROCEDURE|ICD10:BW2G1ZZ
px13059|PROCEDURE|71010
px13060|PROCEDURE|71020
px13183|PROCEDURE|74010
px1873|PROCEDURE|ICD9:87.39
px1875|PROCEDURE|ICD9:87.49
px1894|PROCEDURE|ICD9:88.19
px12107|PROCEDURE|51701
px12108|PROCEDURE|51702
px12109|PROCEDURE|51703
px12649|PROCEDURE|62319
px15516|PROCEDURE|P9045
px15517|PROCEDURE|P9046
px15518|PROCEDURE|P9047
px1333|PROCEDURE|ICD9:75.32
px14440|PROCEDURE|93225
px15049|PROCEDURE|G0403
px9152|PROCEDURE|0296T
px9153|PROCEDURE|0298T
px12648|PROCEDURE|62318
px14215|PROCEDURE|88237
px556|PROCEDURE|ICD9:37.28
ccs11|DIAGNOSIS|11
ccs12|DIAGNOSIS|12
ccs13|DIAGNOSIS|13
ccs14|DIAGNOSIS|14
ccs15|DIAGNOSIS|15
ccs16|DIAGNOSIS|16
ccs17|DIAGNOSIS|17
ccs18|DIAGNOSIS|18
ccs19|DIAGNOSIS|19
ccs20|DIAGNOSIS|20
ccs21|DIAGNOSIS|21
ccs23|DIAGNOSIS|23
ccs24|DIAGNOSIS|24
ccs25|DIAGNOSIS|25
ccs26|DIAGNOSIS|26
ccs27|DIAGNOSIS|27
ccs28|DIAGNOSIS|28
ccs29|DIAGNOSIS|29
ccs30|DIAGNOSIS|30
ccs31|DIAGNOSIS|31
ccs32|DIAGNOSIS|32
ccs33|DIAGNOSIS|33
ccs34|DIAGNOSIS|34
ccs35|DIAGNOSIS|35
ccs36|DIAGNOSIS|36
ccs41|DIAGNOSIS|41
ccs101|DIAGNOSIS|101
ccs107|DIAGNOSIS|107
ccs108|DIAGNOSIS|108
ccs127|DIAGNOSIS|127
ccs128|DIAGNOSIS|128
ccs158|DIAGNOSIS|158
ccs151|DIAGNOSIS|151
ccs183|DIAGNOSIS|183
ccs98|DIAGNOSIS|98
ccs99|DIAGNOSIS|99
ccs186|DIAGNOSIS|186
ccs49|DIAGNOSIS|49
ccs50|DIAGNOSIS|50
